game_id,rated,speed,perf,winner,opening,white,black,moves
ZZImaDvj,True,bullet,bullet,black,Queen's Pawn Game: Modern Defense,affa19,DrNykterstein,d4 g6 c3 Bg7 Nf3 Nf6 h3 O-O Bf4 d6 e3 Nbd7 Bh2 b6 Be2 Bb7 O-O a6 a4 c5 Nbd2 Ra7 Bd3 Qa8 Qe2 h6 Rfe1 Ne4 Nxe4 Bxe4 Bxe4 Qxe4 Nd2 Qc6 Qf3 Qxf3 Nxf3 Rfa8 Red1 b5 a5 Rc8 dxc5 Nxc5 Nd4 f5 f3 Kf7 Kf1 Rac7 Bg1 Na4 Rd2 Bxd4 exd4 f4 d5 Rc4 b3 Rxc3 bxa4 Rc1+ Rd1 Rxd1+ Rxd1 bxa4 Ra1 Rc4 Bb6 Kf6 Ke2 Ke5 Kd3 Kxd5 Ke2 e5 Kd3 g5 Ra2 h5 Ra1 Rb4 Kc3 Rb3+ Kc2 Rb4 Kc3 Rc4+ Kd3 g4 hxg4 hxg4 Ra2 Rb4 Kc3 Rb3+ Kc2 gxf3 gxf3 Rxf3 Rxa4 e4 Rd4+ Ke5 Rd1 e3 Kd3 Rf2 Re1 Rd2+ Kc3 Ke4 Bc7 d5 Bb6 d4+ Kc4 f3 Rh1 f2 Rh4+ Kf3 Bxd4 f1=Q+ Kd5 Qb5+ Ke6 Rxd4 Rxd4 e2 Rd5 e1=Q+ Kd6 Qg3+ Ke6 Qg8+ Ke7 Qgxd5 Kf6 Qbd7 Kg6 Q7e6+ Kh7 Qdd7+ Kh8 Qee8#
uZ8Ugjbm,True,bullet,bullet,white,"Queen's Gambit Accepted: Classical Defense, Main Line",junglebook1,DrNykterstein,d4 d5 Nf3 Nf6 c4 dxc4 e3 e6 Bxc4 c5 O-O a6 b3 cxd4 Nxd4 Bd7 Bb2 Nc6 Nd2 Nxd4 Bxd4 Bc6 Be2 Be7 Bf3 Rc8 Rc1 Bxf3 Qxf3 Rxc1 Rxc1 Qd7 Nc4 O-O Nb6 Qb5 Qxb7 Ba3 Rc8 e5 Bc3 Qd3 h3 Ne4 Nd7 Nxc3 Nxf8
fNUpn0oK,True,bullet,bullet,white,King's Indian Attack,DrNykterstein,yoseph2013,Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 d3 h6 c4 e6 cxd5 cxd5 Qb3 Qb6 Be3 Qxb3 axb3 Nc6 Nd4 Nxd4 Bxd4 a6 Nc3 Bg6 e4 dxe4 dxe4 Nd7 e5 Bc5 Bxc5 Nxc5 b4 Nd3 Bxb7 Rb8 Bc6+ Ke7 b5 axb5 Ra7+ Kf8 f4 b4 Nb5 Kg8 Nd6 Nxb2 f5 exf5 Bd5 Kh7 Bxf7 Bxf7 Rxf7 Nd3 Nxf5 Rhg8 e6 b3 e7 b2 Rb1 Rbc8 Kg2 Kg6 Nd6 Rc1 Rxb2 Nxb2 Rf8 Re1 Rxg8 Rxe7 Rc8 Nd3 h4 Kh7 h5 Ne5 Rf8 Nd7 Rf5 Nf6 Nc4 Rd7 Ne3 Re7 Kf3 Ra7 Re5 Ra3 g4 Kg8 Kf4 Kf7 Nc4 Ra4 Rc5 Nd7 Rc7 Ke6 Rc6+ Kd5 Rd6+ Kc5 Rxd7 Rxc4+ Kf5 Kc6 Rxg7 Kd6 Rg6+ Ke7 Rxh6 Kf7
MSkP4tKc,True,bullet,bullet,white,King's Indian Attack,DrNykterstein,Katarina0TP,Nf3 d5 g3 Nf6 Bg2 Bf5 O-O e6 d3 Be7 c4 O-O cxd5 exd5 Nc3 c5 e4 dxe4 dxe4 Qxd1 Rxd1 Bg4 h3 Bxf3 Bxf3 Nc6 Be3 Rfd8 Bg2 Nd4 Rac1 Rac8 e5 Nd7 f4 b6 Kf2 Nf8 Nd5 Rd7 Bxd4
ZjbAs7ai,True,bullet,bullet,black,"Pterodactyl Defense: Western, Rhamphorhynchus",SemenPuzyrevsky,DrNykterstein,e4 g6 d4 c5 dxc5 Bg7 Nf3 Qa5+ Bd2 Qxc5 Bc3 Bxc3+ Nxc3 d6 Qd4 Qxd4 Nxd4 Nf6 f3 Nc6 Rd1 Nxd4 Rxd4 Be6 Bc4 Rc8 Bxe6 fxe6 Kd2 Nd7 Rb4 b6 Ra4 a5 b4 axb4 Rxb4 Kf7 a4 Rc6 Nb5 Ra8 c3 g5 h3 Ne5 Rhb1 h5 Nd4 Rc5 Nb3 Rcc8 Nd4 h4 Ke2 Ng6 R1b3 Nf4+ Kf1 Nd3 Rxb6 Rxa4 Rb7 Ra1+ Ke2 Nc1+ Ke3 Nxb3 Rxb3 Ra2 Ne2 Rca8 f4 gxf4+ Nxf4 Rg8 Rb7 Rg3+ Kd4 e5+ Kd5 exf4 e5 Rd2+ Ke4 Re2+ Kxf4 Rxe5 c4 Rxg2 c5 Rxc5 Rb3 Rcg5 Rf3 e5+ Ke4+ Ke6 Rg3 d5+ Kf3 R5xg3#
3YrxyLMY,True,bullet,bullet,white,Zukertort Opening,DrNykterstein,RebeccaHarris,Nf3 Nf6 Nc3 d5 d4 Bf5 Bf4 e6 e3 Bd6 Bd3 Bxf4 exf4 Bg4 h3 Bxf3 Qxf3 c5 dxc5 Qa5 O-O-O Qxc5 Kb1 Nc6 Rhe1 O-O g4 Rac8 g5 Nd7 h4 b5 h5 b4 Ne2 Nb6 Qh3 Nc4 g6 fxg6 Qxe6+ Kh8 hxg6 h6 Bxc4 Qxc4 Qxd5 Qxd5 Rxd5 Rfe8 Kc1 Ne7 Rd6 Nf5 Ra6 Nh4 Rxa7 Nf3 Rd1 Rxe2 Kb1 Rexc2 Rad7 Nd2+ R7xd2 Rxd2 Rxd2 Kg8 a4 bxa3 bxa3 Kf8 a4 Rc4 Ra2 Rxf4 a5 Rb4+ Kc2 Rb7 a6 Ra7 Kc3 Ke7 Kc4 Kd7 Kb5 Kc7 Re2 Kc8 Kb6 Rf7 gxf7
fcmhc2GV,True,bullet,bullet,black,Sicilian Defense: Najdorf Variation,Tuzakli_Egitim,DrNykterstein,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 a3 e5 Nf5 d5 Bg5 d4 Bxf6 Qxf6 Nd5 Qd8 c4 Nc6 Bd3 g6 Ng3 h5 O-O h4 Nh1 h3 g3 Bg7 f4 exf4 gxf4 g5 Ng3 gxf4 Rxf4 Be5 Qf3 Be6 Rf1 Qg5 Rxf7 O-O-O Rf5 Bxf5 Qxf5+ Qxf5 exf5 Rdg8 Rf3 Bxg3 Rxg3 Rxg3+ hxg3 h2+ Kh1 Ne5 Be2 d3 Bd1 d2 Nf4 Nxc4 f6 Ne3 Bf3 Nf5 Bg4 d1=Q+
knxDYq5W,True,bullet,bullet,white,Hungarian Opening: Slav Formation,DrNykterstein,Suleyman_Chess06,g3 d5 Bg2 c6 Nf3 Nf6 O-O g6 d3 Bg7 Nbd2 O-O e4 Bg4 h3 Bxf3 Qxf3 e6 Qe2 Nbd7 e5 Ne8 Nf3 c5 c4 Nc7 h4 d4 h5 f6 h6 Bh8 exf6 Qxf6 b4 Rae8 bxc5 Nxc5 Ba3 b6 Rab1 e5 Bxc5 bxc5 Rb7 Qc6 Ng5 e4 Rfb1 Re7 Bxe4 Qf6 Rxc7 Qxg5 Rxe7
9vzrfIrv,True,bullet,bullet,white,"Queen's Indian Defense: Kasparov-Petrosian Variation, Andersson Variation",mutdpro,DrNykterstein,d4 Nf6 Nf3 b6 c4 Bb7 Nc3 e6 a3 Ne4 Nxe4 Bxe4 Bf4 d6 e3 Be7 Bd3 Bb7 Bc2 Nd7 O-O O-O Bg3 Re8 Qe2 Bf6 Rfd1 e5 dxe5 Nxe5 Nxe5 Bxe5 Bxe5 Rxe5 Rd4 Qf6 Rad1 Rae8 Qd2 Rg5 e4 Rge5 f3 h5 b4 h4 h3 Rg5 Qf2 Bc8 Kf1 Be6 Qxh4 c5 bxc5 bxc5 Rxd6 Bxc4+ Ke1 Qc3+ R1d2 Qe3+ Kd1 Qg1+ Qe1 Rxg2 Rxg2 Qxg2 Qe3 Qxh3 Kc1 Rb8 Qxc5 Qg3 Rd1 Qf4+ Rd2 Rd8 Qb4 Rxd2 Qxd2 Qxf3 Qd8+ Kh7 Qh4+ Kg6 e5+ f5 exf6+ Kf7 Qxc4+ Kxf6 Qd4+ Kf7 Qxa7+ Kf6 Qb6+ Kf7 Qb3+ Qxb3 Bxb3+ Ke7 Kd2
pHGFe1lT,True,bullet,bullet,black,Rapport-Jobava System,Night-King96,DrNykterstein,d4 d5 Nc3 Nf6 Bf4 a6 e3 h6 Nf3 c5 dxc5 Nc6 h3 e6 Na4 Nd7 c3 Nxc5 Nxc5 Bxc5 Bd3 Bd6 Bxd6 Qxd6 O-O O-O e4 Rd8 exd5 exd5 Re1 Qf6 Nd4 Nxd4 cxd4 Bd7 Re3 Re8 Rf3 Qd6 Qd2 Re7 Rg3 Rae8 Rc1 Bb5 Bxb5 axb5 Re3 Rxe3 fxe3 Qg3 Rc3 b4 Rd3 Qd6 Qf2 Qa6 Rb3 Qa4 Qd2 Qxa2 Rxb4 Qb1+ Kh2 Re7 Rb6 Qe4 Rd6 Qxe3 Qxe3 Rxe3 Rxd5 Rb3 Rd8+ Kh7 d5 Rxb2 d6 Rd2 d7 b5 Kg3 b4 Kf3 b3 Rb8 Rxd7 Rxb3 Rd6 Kg3 Rf6 Kh2 g5 Ra3 Kg6 Ra1 Re6 Ra8 f5 Rg8+ Kf6 Rb8 Ke5 Rb2 f4 Rf2 Kf5 Ra2 h5 Ra8 g4 Ra5+ Re5 hxg4+ hxg4 Ra8 g3+ Kh3 Ke4 Rf8 Ke3 Kg4 Re4 Kh3 Kf2
